Key,Value
T_GAME_QUEST_BOARDGAME_TOUNROI_QUEST_004,"The soldiers were found guilty and had to perform community service. If they start organizing game nights again, they will be banished from the city."
T_GAME_QUEST_BOARDGAME_TOUNROI_QUEST_005,The blue knight emerged as the winner of this duel. Victory therefore belongs to the soldiers.
T_GAME_QUEST_BOARDGAME_TOUNROI_QUEST_006,"The townies will have to compensate the soldiers for throwing tomatoes at them. However, soldiers must perform community service. If they start organizing game nights again, they will be banned from the city."
T_GAME_QUEST_BOARDGAME_TOUNROI_QUEST_007,"Sire, the king has heard about the use of the jousting ground to ensure justice is done. He would like to tell you that he approved and that he is therefore paying you some prestige. All's well that ends well."
T_GAME_QUEST_BOAR_REGULATION_ANSWER_001,Send hunters.
T_GAME_QUEST_BOAR_REGULATION_ANSWER_002,That's not my concern.
T_GAME_QUEST_BOAR_REGULATION_CONSEQUENCE_001_A,"But sir… to hunt, we should have at least one hunter... Let's not lose time and build this hunter's cabin!"
T_GAME_QUEST_BOAR_REGULATION_CONSEQUENCE_001_B,Mission accomplished! Quite a hunt we had to conduct. The land is saved.
T_GAME_QUEST_BOAR_REGULATION_TITLE,Wild boar regulation
T_GAME_QUEST_BROTHER_BIRDS_ANSWER_001,Your brother IS a bird.
T_GAME_QUEST_BROTHER_BIRDS_ANSWER_002,"Whoa, whoa, whoa. Guards! Go and get him."
T_GAME_QUEST_BROTHER_BIRDS_ANSWER_003,I authorize you to do so.
T_GAME_QUEST_BROTHER_BIRDS_ANSWER_004,"All right, that's enough, take this man to a healer."
T_GAME_QUEST_BROTHER_BIRDS_CONSEQUENCE_A_001,What do you mean? My brother is a bird? You're losing your mind.
T_GAME_QUEST_BROTHER_BIRDS_CONSEQUENCE_A_002,"What the governor is trying to tell you is that you have to trust him, your brother knows what he's doing. "
T_GAME_QUEST_BROTHER_BIRDS_CONSEQUENCE_A_003,"If you say so.... If anything happens to him, I'll hold you responsible!"
T_GAME_QUEST_BROTHER_BIRDS_CONSEQUENCE_B_002,"Governor, we gave him a little sedative, he's asleep now. He was mumbling strange things, about a technique that could have made him go over the mountains, you did the right thing by bringing him to me. A little more and he would've told us that the earth is round!"
T_GAME_QUEST_BROTHER_BIRDS_CONSEQUENCE_C_001,"Sir! We met a messenger from the palace, he lets us know that our inventor is absolutely incredible and that he would like him to stay longer in the capital to continue working on his inventions. The city's cultural influence has taken a leap forward! The king has decided to send us some prestige."
T_GAME_QUEST_BROTHER_BIRDS_DESC_001,"My Lord, I come to you because my brother has gone mad. He claims he's a bird and he can fly! I'm afraid he'll do something stupid and decide to climb a little too high to prove that he can fly like a bird."
T_GAME_QUEST_BROTHER_BIRDS_DESC_002,Oh Sir! Thank you for not having me taken to the dungeon! My sister worries too much about me. I wanted to surprise you with my discovery! I invented a machine that can fly! LIKE BIRDS! I would like to present it in the capital at the big annual fair.
T_GAME_QUEST_BROTHER_BIRDS_TITLE,The birdbrother
T_GAME_QUEST_COVERAGE_DESC,"My Lord, the town is not prepared for bandit attacks!\nMost of the village is not covered by guard towers. You have to place guard towers so they cover as many buildings as possible."
T_GAME_QUEST_COVERAGE_GENERIC_DESC,"My Lord, the town is not prepared for bandit attacks! Parts of the town are not covered by defense buildings. "
T_GAME_QUEST_COVERAGE_GENERIC_TITLE,Increase the coverage of the town with defense buildings
T_GAME_QUEST_COVERAGE_TITLE,Cover the village with guard towers.
T_GAME_QUEST_DEFEND_TOWN2_DESC,"Bandits are attacking the village, Governor!\nWe have to repel as many raiders as possible to minimize the damage to our economy and buildings!"
T_GAME_QUEST_DEFEND_TOWN_DESC,"My Lord,\nthe Townsfolk is in fear of bandit attacks. We should demonstrate the Townies and especially the bandits that we can defend ourselves!"
T_GAME_QUEST_DESIRES_01_START,What a provincial region. It's missing all the advantages of a big city.\n\nA lot has to change for this town to become a thriving metropolis!
T_GAME_QUEST_DESIRES_01_SUCCESS,"Now that the bandits are defeated and the village has grown it has become really beautiful here.\nIt was a good idea to move here, darling."
T_GAME_QUEST_DESIRES_01_TITLE,Ensure your wife feels comfortable.
T_GAME_QUEST_DESIRES_02_START,"This village also needs a tailor's shop, so I can have new tailored clothes."
T_GAME_QUEST_DESIRES_02_SUCCESS,"Thanks, darling!\nMy old clothes have already been threadbare."
T_GAME_QUEST_DESIRES_03_START,"I miss the bustling activity of the city.\nSettle more people to invigorate this town, please!"
T_GAME_QUEST_DESIRES_03_TITLE,Increase the population.
T_GAME_QUEST_DESIRES_04_START,"Oho, a nice vivid village!\n\nYou surely will have no objections about me taking residence here."
T_GAME_QUEST_DESIRES_05_START,Bandits in the woods!?\nEstablish a town watch to repel those villains!
T_GAME_QUEST_DESIRES_06_START,"Oho, a guard tower…\n\nYou should know, suchlike behavior only incites my men!"
T_GAME_QUEST_DESIRES_07_FAIL,Those bandits make trouble in town.\n\nI want you to reinforce the towns watch immediately!
T_GAME_QUEST_DESIRES_07_START,Please ensure our guardsmen will keep the bandits outside the town!
T_GAME_QUEST_DESIRES_07_SUCCESS,Marvelous! I feel much safer know.
T_GAME_QUEST_DESIRES_07_TITLE,Repel all bandit attacks.
T_GAME_QUEST_DESIRES_08_START,To make sure the guards are duteous you should serve brew and sausages to them!
T_GAME_QUEST_DESIRES_08_TITLE,Produce brew and sausages.
T_GAME_QUEST_DESIRES_09_START,The guards need weapons and armor to be able to fend off the bandits!
T_GAME_QUEST_DESIRES_09_SUCCESS,Now the guards should be able to repel all bandits!
T_GAME_QUEST_DESIRES_09_TITLE,Produce weapons and armor.
T_GAME_QUEST_DESIRES_10_FAIL,I should have mentioned that my people will take their stake anyway!
T_GAME_QUEST_DESIRES_10_START,The way you fulfill every of your wife's wishes makes me think you have a problem with an abundance of coins.\n\nLet me liberate you from this heavy burden!
T_GAME_QUEST_DESIRES_10_SUCCESS,"It would be a wise decision to send me those coins now, Lord Steward!"
T_GAME_QUEST_DESIRES_10_TITLE,Tribute coins.
T_GAME_QUEST_DESIRES_11_START,"You aren't thinking about giving in to this blackmail, do you?\nSpending the coins on new clothes would be a much better investment!"
T_GAME_QUEST_DESIRES_11_TITLE,Buy cloth at the merchant.
T_GAME_QUEST_DESIRES_12_START,"This village is boring, it lacks entertainment!"
T_GAME_QUEST_DESIRES_12_START_DEPRECATED,"This village is boring, it lacks a jousting ground!"
T_GAME_QUEST_DESIRES_12_SUCCESS,Much better! It's starting to look nice here.
T_GAME_QUEST_DESIRES_12_TITLE,Build a jousting ground.
T_GAME_QUEST_DESIRES_13_FAIL,You learned nothing from the last time. My chumps will come over to do a little inventory!
T_GAME_QUEST_DESIRES_13_START,Looks like you still suffer abundance. Give me your gold!\nAnd don't you dare to give it to your wife!
T_GAME_QUEST_DESIRES_13_SUCCESS,Looks like you learned something. Maybe my men won't have to fetch their stake anymore.
T_GAME_QUEST_DESIRES_15_START,"You should better process the gold to jewelry for me, my darling!"
T_GAME_QUEST_DESIRES_15_SUCCESS,"Many thanks, darling!"
T_GAME_QUEST_DESIRES_16_START,I want to host a little festivity.\nTherefore I need juice and bread.
T_GAME_QUEST_DESIRES_16_SUCCESS,Very good. I hope there won't be any incidents with bandits.
T_GAME_QUEST_DESIRES_17_START,"Oho, what a nice festivity, did you forget to invite us? "
T_GAME_QUEST_DESIRES_18_START,Enough is enough. Get rid of these bandits once and for all!\nDestroy their camps.
T_GAME_QUEST_DESIRES_18_SUCCESS,Finally we got rid of those villains!
T_GAME_QUEST_DESIRES_18_TITLE,Destroy all bandit camps.
T_GAME_QUEST_DESIRES_19_START,"This village doesn't even have a market place!? \nBuild one, my dear, so I can trade goods from the city."
T_GAME_QUEST_DESIRES_19_SUCCESS,This makes it slightly more bearable to live here.
T_GAME_QUEST_DESIRES_20_START,Don't they have any other groceries than fish?\nPlease build a bakery and produce bread.
T_GAME_QUEST_DESIRES_20_SUCCESS,Thank you very much! I'm already getting sick of the sight of fish.
T_GAME_QUEST_DISASTERS_BANDIT_RAID_01,"My Lord, our scouts report the bandits in the region are massing at the city borders. I fear a large scale bandit attack is incoming.\nWe should prepare the defenses!"
T_GAME_QUEST_DISASTERS_BANDIT_RAID_02,The bandits are starting their attack!
T_GAME_QUEST_DISASTERS_BANDIT_RAID_03,"The next wave of raiding bandits has reached the town, my Lord!"
T_GAME_QUEST_DISASTERS_BANDIT_RAID_04,"Lord Governor, the bandits have started the next attack!"
T_GAME_QUEST_DISASTERS_BANDIT_RAID_05,"Another wave of bandits is on the way to the town, my Liege!"
T_GAME_QUEST_DISASTERS_BANDIT_RAID_06,"A massive wave of bandits is incoming, my Liege. It seems that it’s the last wave of bandits. We have to hold our ground!"
T_GAME_QUEST_DISASTERS_BANDIT_RAID_07,"My Lord, the city guard reports that the attack is over. The remaining bandits are driven out of the town and are retreating."
T_GAME_QUEST_DISASTER_ANIMAL_SUCCESS,The animal population is on the mend. Finally we can go hunting again!
T_GAME_QUEST_DISASTER_DROUGHT_SUCCESS,"The fields slowly recover, my Liege. The crop illness seems to be over."
T_GAME_QUEST_DISASTER_DROUGHT_SUCCESS_02,"The fields are slowly recovering, my Liege. The drought seems to be over."
T_GAME_QUEST_DISASTER_FIRE_START,"The town is ablaze, my Lord Steward!\n\nWe need to extinguish the fire fast, before it spreads all over the town."
T_GAME_QUEST_DISASTER_FIRE_SUCCESS,"Excellent, my Liege.\n\nAll fires have been extinguished and the town is save again."
T_GAME_QUEST_DISASTER_FIRE_SUCCESS_NEW,"There are no more fires in town, my Liege."
T_GAME_QUEST_DISASTER_FIRE_TITLE_NEW,Make sure no building burns down.
T_GAME_QUEST_DISASTER_PLAGUE_START,"My Lord, the black death is ravaging the land.\n\nWe need to take care of the sick persons, before the whole town is infected by the plague."
T_GAME_QUEST_DISASTER_PLAGUE_SUCCESS,"We did it, my Liege!\n\nThe outbreak of the plague has been contained. The town has been safed."
T_GAME_QUEST_DOCTORS_GRANDMA_ANSWER_001,Modern medicine.
T_GAME_QUEST_DOCTORS_GRANDMA_ANSWER_002,Grandmothers' remedies.
T_GAME_QUEST_DOCTORS_GRANDMA_CONSEQUENCE_002,"The medicus in great indignation decided to destroy the infirmary! He said, ""If you choose grandmothers' remedies, you don't need my lab anymore!"
T_GAME_QUEST_DOCTORS_GRANDMA_CONSEQUENCE_A_001,"Wise decision, Sir."
T_GAME_QUEST_DOCTORS_GRANDMA_CONSEQUENCE_A_002,"Thanks to your choice, the care provided by the doctor is much more effective!"
T_GAME_QUEST_DOCTORS_GRANDMA_DESC,"Sir, many villagers no longer know where to turn when they have health problems. Should we direct them to modern medicine or grandmothers' remedies?"
T_GAME_QUEST_DOCTORS_GRANDMA_TITLE,Doctors and grandmothers
T_GAME_QUEST_DREAM_TIME_ANSWER_001,Just go back to bed.
T_GAME_QUEST_DREAM_TIME_ANSWER_002,I trust you.
T_GAME_QUEST_DREAM_TIME_CONSEQUENCE_001_A,Oh no! No! We should have listened to that dreamer! Some people started to develop a strange disease.
T_GAME_QUEST_DREAM_TIME_CONSEQUENCE_001_B,"Fortunately for us, we have managed to stop this disease. We'd better listen to the premonitions next time..."
T_GAME_QUEST_DREAM_TIME_CONSEQUENCE_001_C,"This townie has saved us from a few disasters More than once. Let's build an infirmary, Sire, just in case."
T_GAME_QUEST_DREAM_TIME_CONSEQUENCE_002_001,"Oh Sire! We have just finished building the infirmary and some of our townies are ill. Good thing you decided to listen to this townie! The damage was limited! Well done, sire."
T_GAME_QUEST_DREAM_TIME_CONSEQUENCE_002_002,"We must still heal them, Sire. Otherwise the disease could spread."
T_GAME_QUEST_DREAM_TIME_CONSEQUENCE_002_003,Splendid! The whole village is in perfect health again. We can go back to our business.
T_GAME_QUEST_DREAM_TIME_DESC,"My Lord, last night I dreamt that our village was going to be infected with a strange disease. All the inhabitants had stuffy noses. \n\nDo you think my dream could be premonitory?"
T_GAME_QUEST_DREAM_TIME_TITLE,Dream time
T_GAME_QUEST_ENEMIES_FLOWERS_ANSWER_001,I'm looking forward to it!
T_GAME_QUEST_ENEMIES_FLOWERS_ANSWER_002,"Oh, I had a preference for the previous one."
T_GAME_QUEST_ENEMIES_FLOWERS_ANSWER_004,"No, I don't have time for that."
T_GAME_QUEST_ENEMIES_FLOWERS_ANSWER_005,No means no.
T_GAME_QUEST_ENEMIES_FLOWERS_ANSWER_006,Send her in.
T_GAME_QUEST_ENEMIES_FLOWERS_ANSWER_007,Granted.
T_GAME_QUEST_ENEMIES_FLOWERS_ANSWER_008,It is out of question to attract more travelers.
T_GAME_QUEST_ENEMIES_FLOWERS_ANSWER_HELP_OK_001,"In an unparalleled outpouring of generosity, you get to work. This inn will be swimming in a sea of flowers!"
T_GAME_QUEST_ENEMIES_FLOWERS_ANSWER_OK,"Well, fine."
T_GAME_QUEST_ENEMIES_FLOWERS_DESC_001,"Hear ye, hear ye, good people! The inn has a new owner! Come to the inn for the reopening!""\n\nThe town crier is in a good mood today. It is said that every time a new guest comes to the inn, he receives tips."
T_GAME_QUEST_ENEMIES_FLOWERS_DESC_002,"Sire, we have the visit of the new owner of the inn. Would you like to welcome her?"
T_GAME_QUEST_ENEMIES_FLOWERS_DESC_003,"Sire, please. The inn is one of the favourite places of travelers. We could improve the city's reputation by improving this facility."
T_GAME_QUEST_ENEMIES_FLOWERS_DIALOGUE_001,"Good morning, Sire. Thank you for having me in your castle."
T_GAME_QUEST_ENEMIES_FLOWERS_DIALOGUE_002,What provides us the honour of your visit?
T_GAME_QUEST_ENEMIES_FLOWERS_DIALOGUE_003,"Well, you see, the inn is in a bad state. The previous owner was really careless. Not only with suppliers but also with customers!"
T_GAME_QUEST_ENEMIES_FLOWERS_DIALOGUE_004,"Um, yes, if you say so. We don't really spend much time at the inn."
T_GAME_QUEST_ENEMIES_FLOWERS_DIALOGUE_005,"So, I'm here to ask for your help. I would like to start by adding flowers around my establishment. In order to give it a more charming look. I want to attract more travelers so that they might come back."
T_GAME_QUEST_ENEMIES_FLOWERS_DRINKS_001,Now let's move on to step two! The drinks.
T_GAME_QUEST_ENEMIES_FLOWERS_DRINKS_002,"Ah! A second step... Well, since we're here, we might as well keep going. So what is the next step in your program?"
T_GAME_QUEST_ENEMIES_FLOWERS_DRINKS_003,We need metal as well as top quality wood.
T_GAME_QUEST_ENEMIES_FLOWERS_DRINKS_004,Didn't you say anything about drinks? Why wood now?
T_GAME_QUEST_ENEMIES_FLOWERS_DRINKS_005,"To make decent barrels, come on! The former owner did not even have proper barrels to store the drinks. Suppliers must be using bad wood. So we have to collect enough wood and iron bars to make it ourselves."
T_GAME_QUEST_ENEMIES_FLOWERS_DRINKS_006,Great! They're beautiful!
T_GAME_QUEST_ENEMIES_FLOWERS_END_002,If you take it that way. I'll manage it on my own!
T_GAME_QUEST_ENEMIES_FLOWERS_FINAL_INN,"From now on, the town crier will favor the inn in his annoucements."
T_GAME_QUEST_ENEMIES_FLOWERS_FINAL_TAVERN_001,"From now on, the town crier will favor the tavern in his annoucements."
T_GAME_QUEST_ENEMIES_FLOWERS_FINAL_TAVERN_002,"Thank you, Governor! All's well that ends well."
T_GAME_QUEST_ENEMIES_FLOWERS_SUCCESS_FLOWERS_001,"Oh, thank you, Sire! The inn is so much more welcoming with the flowers."
T_GAME_QUEST_ENEMIES_FLOWERS_SURE_001,"Come on, Sire, take the time to think about it. The inn is an important source of income for the village. It can help you to accomplish some of your projects.\n\nAre you sure you want to stop your efforts?"
T_GAME_QUEST_ENEMIES_FLOWERS_TAVERNE_DIALOGUE_001,"What are you saying, Sire?! You help this young woman with her inn and what about me? You won't help me with my tavern!"
T_GAME_QUEST_ENEMIES_FLOWERS_TAVERNE_DIALOGUE_002,"Come on, behave yourself when you address the governor."
T_GAME_QUEST_ENEMIES_FLOWERS_TAVERNE_DIALOGUE_003,I demand to get the same privileges as this lady!
T_GAME_QUEST_ENEMIES_FLOWERS_TAVERNE_DIALOGUE_004,Do you also want flowers for your establishment?
T_GAME_QUEST_ENEMIES_FLOWERS_TAVERNE_DIALOGUE_005,Flowers? No! I want a town crier who also supports my establishment!
T_GAME_QUEST_ENEMIES_FLOWERS_TAVERNE_DIALOGUE_006,"Sire, what should we do?"
T_GAME_QUEST_ENEMIES_FLOWERS_TAVERNE_DIALOGUE_007,Promote the tavern.
T_GAME_QUEST_ENEMIES_FLOWERS_TAVERNE_DIALOGUE_008,Promote the inn.
T_GAME_QUEST_ENEMIES_FLOWERS_TITLE,Of Flowers and Foes
T_GAME_QUEST_FEAST_TITLE,Arrange a festival for the town.
T_GAME_QUEST_FIRECOVERAGE_TITLE,Cover the village with fire lookout towers.
T_GAME_QUEST_FIRE_COVERAGE_DESC,"My Lord, the town is not prepared for large fires! Parts of the village are not covered by fire lookout towers. Place the towers so they cover as many buildings as possible."
T_GAME_QUEST_FOOD_STARTED,"Let's not forget the food, Sir! No festival without a full pantry. Let's hurry up and get the resources in stock. The sooner we have them, the sooner your project can succeed."
T_GAME_QUEST_FOOD_SUCCESS,"Our Festival attendees won't starve to death! Oh Sir, we are approaching the goal! I can't wait!"
T_GAME_QUEST_FORTUNE_TELLER_ANSWER_BYE_001,"A governor who is not able to offer a refreshment to a queen!? I was told to be suspicious of you, but I didn't want to listen!"
T_GAME_QUEST_FORTUNE_TELLER_ANSWER_BYE_002,"Queen Frygith, come on, don't get angry about such a little thing. It's just a refreshment. Don't be so dramatic."
T_GAME_QUEST_FORTUNE_TELLER_ANSWER_BYE_003,I see that even your advisor is starting to disrespect me…
T_GAME_QUEST_FORTUNE_TELLER_ANSWER_BYE_004,"The situation is completely out of control, you no longer know what to do and your stress levels are only rising. \n\nHow do you react?"
T_GAME_QUEST_FORTUNE_TELLER_ANSWER_CALM_001,Try to calm the Queen down.
T_GAME_QUEST_FORTUNE_TELLER_ANSWER_CALM_002,"Listen, the governor has feelings for you and he just doesn't know how to behave. You see, this is the first time he's been in love."
T_GAME_QUEST_FORTUNE_TELLER_ANSWER_CALM_003,"The queen is feeling emotional too. It seems she also has feelings for you. Could this be the beginning of a real love story? Was this fortune teller right all along?\n\nOnly time can tell. In the meantime, the queen has decided to have another dance."
T_GAME_QUEST_FORTUNE_TELLER_ANSWER_CALM_004,"Several months have passed since the famous ball. You and Queen Frigith have an epistolary relationship. Sometimes she comes to see you when the weather allows it.\n\nPerhaps one day, she will choose you as King of her kingdom. But for now, she has too much on her plate to make a place for herself as a queen.\n\nAnd so do you! You must continue to do everything in your power to keep your city running smoothly."
T_GAME_QUEST_FORTUNE_TELLER_ANSWER_CALM_005,"The townies are also happy for you and the Queen. They have observed an increase in travelers, they come mainly to taste the grape juice and drink which the queen was refused during the party. Rumors have it, they were so good that they ran out of reserves in less than an hour.\n\nThe productivity of these two buildings has increased!"
T_GAME_QUEST_FORTUNE_TELLER_ANSWER_CARDS_001,The cards.
T_GAME_QUEST_FORTUNE_TELLER_ANSWER_CARDS_002,"I'll make a general draw for you, Sire. It will tell us a little more about what kind of person you are and what fate awaits you. "
T_GAME_QUEST_FORTUNE_TELLER_ANSWER_CARDS_003,"After this first draw, she proceeds with another card shuffle.\n\nShe asks you to draw three cards. One for the past, present and future.\n\nOnce all the cards have been chosen, she turns them over one by one."
T_GAME_QUEST_FORTUNE_TELLER_ANSWER_CARDS_004,"Oh Sire, these three cards tell me you're going to have a very difficult time. You should be suspicious of the people in the church. The cards tell me that in the past, they have already tried to approach you, but without much success.\n\nYou have been warned."
T_GAME_QUEST_FORTUNE_TELLER_ANSWER_CARDS_005,"A wonderful draw, Sire! All positive. You will meet a woman, a great woman who will turn your heart upside down. Love is on the horizon! Be ready when she knocks on your door."
T_GAME_QUEST_FORTUNE_TELLER_ANSWER_CARDS_A_001,"You see this young woman shuffling the cards, she whispers your name to them. In order to transmit your energy.\n\nThen she asks you to choose the right or left stack."
T_GAME_QUEST_FORTUNE_TELLER_ANSWER_CARDS_CHURCH_001,I hope that this prediction won't come true and that the religious people are happy in our city.
T_GAME_QUEST_FORTUNE_TELLER_ANSWER_CARDS_CHURCH_002,"The next morning, a monk approaches you. He informs you that the church needs more resources and that an additional place of worship would be greatly appreciated.\n\nThe fortune teller's prediction crosses your mind."
T_GAME_QUEST_FORTUNE_TELLER_ANSWER_CARDS_CHURCH_003,"Sire, a new church could help the population to wake up spiritually. Thank you very much."
T_GAME_QUEST_FORTUNE_TELLER_ANSWER_CARDS_CHURCH_004_TITLE,Build a new place of worship.
T_GAME_QUEST_FORTUNE_TELLER_ANSWER_CARDS_CHURCH_006,"Oh, that's perfect! You will see, we will make good use of this new place of worship."
T_GAME_QUEST_FORTUNE_TELLER_ANSWER_CARDS_LEFT_001,Left stack.
T_GAME_QUEST_FORTUNE_TELLER_ANSWER_CARDS_LEFT_002,This card indicates that you have a very dark part in you and it will lead you to self-destruction. I fear that this will affect the productivity of your people.
T_GAME_QUEST_FORTUNE_TELLER_ANSWER_CARDS_LEFT_003,"I sense that you are confused and that your advisor is pushing you to leave. But stay a while, it's not over yet. A second draw may provide more specific answers."
T_GAME_QUEST_FORTUNE_TELLER_ANSWER_CARDS_PARTY_001,"Sire, this fortune teller is telling the truth, we have a visit scheduled for the coming weekend. That gives us enough time to plan a party and get dressed up!"
T_GAME_QUEST_FORTUNE_TELLER_ANSWER_CARDS_PARTY_002,Organize a party
T_GAME_QUEST_FORTUNE_TELLER_ANSWER_CARDS_PARTY_003,"A good party is nothing without food and drink. Let's start with that, Sire."
T_GAME_QUEST_FORTUNE_TELLER_ANSWER_CARDS_PARTY_004,Perfect! We now have enough food and drink to satisfy our guests.
T_GAME_QUEST_FORTUNE_TELLER_ANSWER_CARDS_PARTY_005,"Sire, you should do everything possible for this celebration. Imagine if you met your soul mate there?"
T_GAME_QUEST_FORTUNE_TELLER_ANSWER_CARDS_PARTY_006,"Your advisor may have a point. So you decide to dress up with your most beautiful attire. The whole city shines, you do not hesitate for a second to expose your wealth."
T_GAME_QUEST_FORTUNE_TELLER_ANSWER_CARDS_PARTY_007,This will write history! This will surely impress your potential lover.
T_GAME_QUEST_FORTUNE_TELLER_ANSWER_CARDS_RIGHT_001,Right stack.
T_GAME_QUEST_FORTUNE_TELLER_ANSWER_CARDS_RIGHT_002,You are a caring person and the cards tell me that this will affect the productivity of your residents!
T_GAME_QUEST_FORTUNE_TELLER_ANSWER_CRISTAL_001,The crystal ball.
T_GAME_QUEST_FORTUNE_TELLER_ANSWER_CRISTAL_002,"Very good choice, Governor. Please come closer and look into the crystal ball."
T_GAME_QUEST_FORTUNE_TELLER_ANSWER_CRISTAL_BAD_001,"The fortune teller approaches the crystal ball with her hands and suddenly, blue smoke appears.\n\n""Oh Sire, great misfortune may fall upon you. I see monks. Perhaps it will be the cause of your misfortunes,"" she said with a sad undertone."
T_GAME_QUEST_FORTUNE_TELLER_ANSWER_CRISTAL_GOOD_001,"The fortune teller approaches the crystal ball with her hands and suddenly, pink smoke appears.\n\n""Oh Sire, you will find love! The real one! You're going to have an incredible story, I assure you!"" she tells you with a confident look."
T_GAME_QUEST_FORTUNE_TELLER_ANSWER_CRY_001,Leave and go cry in your room.
T_GAME_QUEST_FORTUNE_TELLER_ANSWER_CRY_002,"Panicked, you escape from the ballroom and run to your room to collapse while crying in your bed.\n\nEverything suggests that you're suffering from a broken heart. Only time alone can remedy this."
T_GAME_QUEST_FORTUNE_TELLER_ANSWER_CRY_003,"For several months now, you have been slowly recovering from your broken heart.\n\nQueen Frygith has never tried to find out how you were doing, she doesn't care about you at all.\n\nOn the other hand, you have made history and now appear in books as the governor in love. This has won you the sympathy of the people and they are now working more efficiently."
T_GAME_QUEST_FORTUNE_TELLER_ANSWER_DRINKS_001,Bring her a drink.
T_GAME_QUEST_FORTUNE_TELLER_ANSWER_FORTUNE_002,"In company of your advisor, you decide to go to the fortune teller's house. Maybe she can help you to prevent some misfortunes or perhaps provide you great news."
T_GAME_QUEST_FORTUNE_TELLER_ANSWER_FORTUNE_003,"The fortune teller is not far from the castle. You enter the small tent. You're surrounded by a whole lot of mystical objects. In a way, it calms you down.\n\n""Oh Sire, take a seat. I'm so glad you accepted my invitation. Which method do you prefer?"
T_GAME_QUEST_FORTUNE_TELLER_ANSWER_JUICE_001,Bring her some grape juice.
T_GAME_QUEST_FORTUNE_TELLER_ANSWER_LOVE_001,"You can admire the parades from the top of your castle. And suddenly, in the distance, you see a procession coming. Your attention falls on a beautiful woman. Your heart is overwhelmed. \n\nIs that what love at first sight is all about?"
T_GAME_QUEST_FORTUNE_TELLER_ANSWER_LOVE_002,"Mad about love, you decide to go and meet this beautiful stranger. Almost missing a step going down the stairs of your castle, you go down the steps on all fours. Your advisor, towering next to you, doesn't understand what is going on with you."
T_GAME_QUEST_FORTUNE_TELLER_ANSWER_LOVE_003,"Sire, this is Queen Frygith. I don't know what motivated you to get to her so quickly."
T_GAME_QUEST_FORTUNE_TELLER_ANSWER_LOVE_004,"Governor, nice to meet you."
T_GAME_QUEST_FORTUNE_TELLER_ANSWER_LOVE_005,"Queen Frygith dazzled you with her presence, you no longer know how to act. Fortunately for you, your trustworthy advisor is helping you and allowing you to regain your senses.\n\nYou decide to invite Queen Frygith to the ball tonight. Hopefully she'll accept this first romantic date."
T_GAME_QUEST_FORTUNE_TELLER_ANSWER_LOVE_006,"Queen Frygith, the Governor invites you to tonight's ball to be his date. Would you do us the honor of accepting?"
T_GAME_QUEST_FORTUNE_TELLER_ANSWER_LOVE_007,"That is absolutely inappropriate! I am promised to the Duke of Cannes, I cannot be seen in the arms of a governor."
T_GAME_QUEST_FORTUNE_TELLER_ANSWER_LOVE_008,I would be happy to accept this invitation.
T_GAME_QUEST_FORTUNE_TELLER_ANSWER_LOVE_009,"The time for the ball has finally come. You have asked the most prestigious musicians to play for you during this evening. You want absolutely everything to be perfect for your beloved.\n\nQueen Frygith finally arrives, in an elegant dress. Every second you spend in her presence makes your love get stronger."
T_GAME_QUEST_FORTUNE_TELLER_ANSWER_LOVE_010,"The music is coming together, Queen Frygith also seems to be under the spell. It's time for a break and she asks you for a little refreshment."
T_GAME_QUEST_FORTUNE_TELLER_ANSWER_NADA_001,You have nothing to offer her.
T_GAME_QUEST_FORTUNE_TELLER_ANSWER_NO_001,Decline the invitation.
T_GAME_QUEST_FORTUNE_TELLER_ANSWER_NO_002,"You did the right thing, Governor. Who knows what kinds of problems we would have gotten ourselves into!"
T_GAME_QUEST_FORTUNE_TELLER_ANSWER_NO_LOVE_007,"Broken-hearted, you decide not to attend the ball at all. You are grieving for a long time. And it is being reflected in your city. The productivity and happiness of the inhabitants are declining. Let's hope it doesn't last."
T_GAME_QUEST_FORTUNE_TELLER_ANSWER_NO_LOVE_008,You start seeing the light at the end of the tunnel again and your sadness is now overcome. You slowly start coming out of your room again.\n\nThe people are pleased with your recovery and this is affecting their productivity and morale positively.
T_GAME_QUEST_FORTUNE_TELLER_ANSWER_OFFER_001,"Thank you Governor, you are a very charming man. Would you like to use this evening to make trade agreements? So we would have the opportunity to meet again…"
T_GAME_QUEST_FORTUNE_TELLER_ANSWER_OFFER_002,"I'll leave you with the Queen, Governor."
T_GAME_QUEST_FORTUNE_TELLER_ANSWER_OFFER_003,"You and the queen isolate yourself in the royal garden. Like in fairy tales. Time is standing still for you and Queen Frigith. You gather all your courage and share your feelings. It turns out the queen's feelings are mutual!\n\nUnfortunately, the sun is rising and the Queen must return. She has a lot to deal with in her country. And you know that it is not so easy to run a country alone."
T_GAME_QUEST_FORTUNE_TELLER_ANSWER_OFFER_004,"The townies are also happy for you. They are less prone to strikes, which is great news.\n\nFinally, you did the right thing by consulting this fortune teller."
T_GAME_QUEST_FORTUNE_TELLER_ANSWER_YES_001,I'd be happy to go!
T_GAME_QUEST_FORTUNE_TELLER_CHURCH_BAD_001,"Oh Sire, it's terrible. The people forced to go to church are completely demoralized. They're at the end of their rope. Let us pray in return that they will get over it! It was a bad decision to make the service mandatory!"
